,제조사,모델,모델연도,사용량,배기량,변속기,연료,연비,가격
0,Audi, A1,2017,15735,1.4,Manual,Petrol,55.4,12500
1,Audi, A6,2016,36203,2.0,Automatic,Diesel,64.2,16500
2,Audi, A1,2016,29946,1.4,Manual,Petrol,55.4,11000
3,Audi, A4,2017,25952,2.0,Automatic,Diesel,67.3,16800
4,Audi, A3,2019,1998,1.0,Manual,Petrol,49.6,17300
5,Audi, A1,2016,32260,1.4,Automatic,Petrol,58.9,13900
6,Audi, A6,2016,76788,2.0,Automatic,Diesel,61.4,13250
7,Audi, A4,2016,75185,2.0,Manual,Diesel,70.6,11750
8,Audi, A3,2015,46112,1.4,Manual,Petrol,60.1,10200
9,Audi, A1,2016,22451,1.4,Manual,Petrol,55.4,12000
10,Audi, A3,2017,28955,1.4,Manual,Petrol,58.9,16100
11,Audi, A6,2016,52198,2.0,Automatic,Diesel,57.6,16500
12,Audi, Q3,2016,44915,2.0,Manual,Diesel,52.3,17000
13,Audi, A3,2017,21695,1.4,Manual,Petrol,58.9,16400
14,Audi, A6,2015,47348,2.0,Manual,Diesel,61.4,15400
15,Audi, A3,2017,26156,1.4,Automatic,Petrol,58.9,14500
16,Audi, Q3,2016,28396,2.0,Automatic,Diesel,53.3,15700
17,Audi, A3,2014,30516,1.4,Automatic,Petrol,56.5,13900
18,Audi, Q5,2016,37652,2.0,Automatic,Diesel,47.1,19000
19,Audi, Q3,2014,34110,1.4,Manual,Petrol,47.9,17000
20,Audi, A5,2017,37100,2.0,Automatic,Diesel,67.3,17300
21,Audi, Q5,2016,23714,2.0,Automatic,Diesel,47.1,20200
22,Audi, A5,2017,21649,3.0,Automatic,Diesel,58.9,22500
23,Audi, A6,2015,62748,3.0,Automatic,Diesel,53.3,17500
24,Audi, Q5,2016,23789,2.0,Automatic,Diesel,47.1,20000
25,Audi, A4,2017,17418,2.0,Automatic,Diesel,62.8,18500
26,Audi, A5,2017,33300,2.0,Automatic,Diesel,61.4,19500
